pkts_count,pkt_rate,kBytes,kByte_rate,ip_src_entropy,ip_dst_entropy,ip_src_cum_entropy,ip_dst_cum_entropy,payload_count,incorrect_tcp_checksum_count,correct_tcp_checksum_count,ip_src_novel_Count,ip_dst_novel_Count,port_novel_count,ttl_novel_count,win_size_novel_count,tos_novel_count,mss_novel_count,port_entropy,ttl_entropy,win_size_entropy,tos_entropy,mss_entropy,port_novel_entropy,ttl_novel_entropy,win_size_novel_entropy,tos_novel_entropy,mss_novel_entropy,port_entropy_normalized,ttl_entropy_normalized,win_size_entropy_normalized,tos_entropy_normalized,mss_entropy_normalized,port_novel_entropy_normalized,ttl_novel_entropy_normalized,win_size_novel_entropy_normalized,tos_novel_entropy_normalized,mss_novel_entropy_normalized,ip_src_entropy_normalized,ip_dst_entropy_normalized,ip_src_cum_entropy_normalized,ip_dst_cum_entropy_normalized,ip_src_novel_entropy,ip_dst_novel_entropy,ip_src_novel_entropy_normalized,ip_dst_novel_entropy_normalized
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16,0.0,-0.00013470815746163822,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,-0.004143066612415147,0.0,0.0,0.0,0.0,-0.023791679456184767,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,-0.00028991467045202945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,-2.220446049250313e-16,0.0,5.551115123125783e-17,0.0,0.0,-0.00020887475388531307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,-0.5,0.0,0.0,-2.6645352591003757e-15,0.004484117419425004,8.881784197001252e-16,0.0,0.0,-0.007803257374869865,0.0,0.0,0.0,0.0,-6.661338147750939e-16,0.00018603456707333432,-1.1102230246251565e-16,0.0,-0.0007584238067651627,5.970937276167376e-06,0.0,-0.00020887475388531307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,-1.7763568394002505e-15,0.00448411741942456,-0.0041430666124169235,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,-6.661338147750939e-16,0.00018603456707311228,-2.220446049250313e-16,0.0,-0.0007584238067651627,-7.951342325196453e-05,0.0,-0.00020887475388531307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.661338147750939e-16,0.0,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,-7.951342325207555e-05,0.0,-0.00020887475388531307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
